,target
0,-114.39008390449573
1,-114.39008390449573
2,-114.39008390449573
3,-114.39008390449573
4,-114.39008390449573
5,-114.39008390449573
6,-114.39008390449573
7,-114.39008390449573
8,-114.39008390449573
9,-114.39008390449573
10,-114.39008390449573
11,-114.39008390449573
12,-114.39008390449573
13,-114.39008390449573
14,-114.39008390449573
15,-114.39008390449573
16,-114.39008390449573
17,-114.39008390449573
18,-114.39008390449573
19,-114.39008390449573
20,-114.39008390449573
21,-114.39008390449573
22,-114.39008390449573
23,-114.39008390449573
24,-114.39008390449573
25,-114.39008390449573
26,-114.39008390449573
27,-114.39008390449573
28,-114.39008390449573
29,-114.39008390449573
30,-114.39008390449573
31,-114.39008390449573
32,-114.39008390449573
33,-114.39008390449573
34,-114.39008390449573
35,-114.39008390449573
36,-114.39008390449573
37,-114.39008390449573
38,-114.39008390449573
39,-114.39008390449573
40,-114.39008390449573
41,-114.39008390449573
42,-114.39008390449573
43,-114.39008390449573
44,-114.39008390449573
45,-114.39008390449573
46,-114.39008390449573
47,-114.39008390449573
48,-114.39008390449573
49,-114.39008390449573
50,-114.39008390449573
51,-114.39008390449573
52,-114.39008390449573
53,-114.39008390449573
54,-114.39008390449573
55,-114.39008390449573
56,-114.39008390449573
57,-114.39008390449573
58,-114.39008390449573
59,-114.39008390449573
60,-114.39008390449573
61,-114.39008390449573
62,-114.39008390449573
63,-114.39008390449573
64,-114.39008390449573
65,-114.39008390449573
66,-114.39008390449573
67,-114.39008390449573
68,-114.39008390449573
69,-114.39008390449573
70,-114.39008390449573
71,-114.39008390449573
72,-114.39008390449573
73,-114.39008390449573
74,-114.39008390449573
75,-114.39008390449573
76,-114.39008390449573
77,-114.39008390449573
78,-114.39008390449573
79,-114.39008390449573
80,-114.39008390449573
81,-114.39008390449573
82,-114.39008390449573
83,-114.39008390449573
84,-114.39008390449573
85,-114.39008390449573
86,-114.39008390449573
87,-114.39008390449573
88,-114.39008390449573
89,-114.39008390449573
90,-114.39008390449573
91,-114.39008390449573
92,-114.39008390449573
93,-114.39008390449573
94,-114.39008390449573
95,-114.39008390449573
96,-114.39008390449573
97,-114.39008390449573
98,-114.39008390449573
99,-114.39008390449573
100,-114.39008390449573
101,-114.39008390449573
102,-114.39008390449573
103,-114.39008390449573
104,-114.39008390449573
105,-114.39008390449573
106,-114.39008390449573
107,-114.39008390449573
108,-114.39008390449573
109,-114.39008390449573
110,-114.39008390449573
111,-114.39008390449573
112,-114.39008390449573
113,-114.39008390449573
114,-114.39008390449573
115,-114.39008390449573
116,-114.39008390449573
117,-114.39008390449573
118,-114.39008390449573
119,-114.39008390449573
120,-114.39008390449573
121,-114.39008390449573
122,-114.39008390449573
123,-114.39008390449573
124,-114.39008390449573
125,-114.39008390449573
126,-114.39008390449573
127,-114.39008390449573
128,-114.39008390449573
129,-114.39008390449573
130,-114.39008390449573
131,-114.39008390449573
132,-114.39008390449573
133,-114.39008390449573
134,-114.39008390449573
135,-114.39008390449573
136,-114.39008390449573
137,-114.39008390449573
138,-114.39008390449573
139,-114.39008390449573
140,-114.39008390449573
141,-114.39008390449573
142,-114.39008390449573
143,-114.39008390449573
144,-114.39008390449573
145,-114.39008390449573
146,-114.39008390449573
147,-114.39008390449573
148,-114.39008390449573
149,-114.39008390449573
150,-114.39008390449573
151,-114.39008390449573
152,-114.39008390449573
153,-114.39008390449573
154,-114.39008390449573
155,-114.39008390449573
156,-114.39008390449573
157,-114.39008390449573
158,-114.39008390449573
159,-114.39008390449573
160,-114.39008390449573
161,-114.39008390449573
162,-114.39008390449573
163,-114.39008390449573
164,-114.39008390449573
165,-114.39008390449573
166,-114.39008390449573
167,-114.39008390449573
168,-114.39008390449573
169,-114.39008390449573
170,-114.39008390449573
171,-114.39008390449573
172,-114.39008390449573
173,-114.39008390449573
174,-114.39008390449573
175,-114.39008390449573
176,-114.39008390449573
177,-114.39008390449573
178,-114.39008390449573
179,-114.39008390449573
180,-114.39008390449573
181,-114.39008390449573
182,-114.39008390449573
183,-114.39008390449573
184,-114.39008390449573
185,-114.39008390449573
186,-114.39008390449573
187,-114.39008390449573
188,-114.39008390449573
189,-114.39008390449573
190,-114.39008390449573
191,-114.39008390449573
192,-114.39008390449573
193,-114.39008390449573
194,-114.39008390449573
195,-114.39008390449573
196,-114.39008390449573
197,-114.39008390449573
198,-114.39008390449573
199,-114.39008390449573
200,-114.39008390449573
201,-114.39008390449573
202,-114.39008390449573
203,-114.39008390449573
204,-114.39008390449573
205,-114.39008390449573
206,-114.39008390449573
207,-114.39008390449573
208,-114.39008390449573
209,-114.39008390449573
210,-114.39008390449573
211,-114.39008390449573
212,-114.39008390449573
213,-114.39008390449573
214,-114.39008390449573
215,-114.39008390449573
216,-114.39008390449573
217,-114.39008390449573
218,-114.39008390449573
219,-114.39008390449573
220,-114.39008390449573
221,-114.39008390449573
222,-114.39008390449573
223,-114.39008390449573
224,-114.39008390449573
225,-114.39008390449573
226,-114.39008390449573
227,-114.39008390449573
228,-114.39008390449573
229,-114.39008390449573
230,-114.39008390449573
231,-114.39008390449573
232,-114.39008390449573
233,-114.39008390449573
234,-114.39008390449573
235,-114.39008390449573
236,-114.39008390449573
237,-114.39008390449573
238,-114.39008390449573
239,-114.39008390449573
240,-114.39008390449573
241,-114.39008390449573
242,-114.39008390449573
243,-114.39008390449573
244,-114.39008390449573
245,-114.39008390449573
246,-114.39008390449573
247,-114.39008390449573
248,-114.39008390449573
249,-114.39008390449573
250,-114.39008390449573
251,-114.39008390449573
252,-114.39008390449573
253,-114.39008390449573
254,-114.39008390449573
255,-114.39008390449573
256,-114.39008390449573
257,-114.39008390449573
258,-114.39008390449573
259,-114.39008390449573
260,-114.39008390449573
261,-114.39008390449573
262,-114.39008390449573
263,-114.39008390449573
264,-114.39008390449573
265,-114.39008390449573
266,-114.39008390449573
267,-114.39008390449573
268,-114.39008390449573
269,-114.39008390449573
270,-114.39008390449573
271,-114.39008390449573
272,-114.39008390449573
273,-114.39008390449573
274,-114.39008390449573
275,-114.39008390449573
276,-114.39008390449573
277,-114.39008390449573
278,-114.39008390449573
279,-114.39008390449573
280,-114.39008390449573
281,-114.39008390449573
282,-114.39008390449573
283,-114.39008390449573
284,-114.39008390449573
285,-114.39008390449573
286,-114.39008390449573
287,-114.39008390449573
288,-114.39008390449573
289,-114.39008390449573
290,-114.39008390449573
291,-114.39008390449573
292,-114.39008390449573
293,-114.39008390449573
294,-114.39008390449573
295,-114.39008390449573
296,-114.39008390449573
297,-114.39008390449573
298,-114.39008390449573
299,-114.39008390449573
300,-114.39008390449573
301,-114.39008390449573
302,-114.39008390449573
303,-114.39008390449573
304,-114.39008390449573
305,-114.39008390449573
306,-114.39008390449573
307,-114.39008390449573
308,-114.39008390449573
309,-114.39008390449573
310,-114.39008390449573
311,-114.39008390449573
